"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.70783,-2.2428e-22,0.00015033,7.8092e+06,1,0.302,50,0.05,0.302
0.70736,-2.9893e-22,0.00015084,7.8092e+06,1,0.303,50,0.05,0.303
0.70688,-3.7358e-22,0.00015136,7.8092e+06,1,0.304,50,0.05,0.304
0.7064,-4.4823e-22,0.00015188,7.8092e+06,1,0.305,50,0.05,0.305
0.70592,-5.2288e-22,0.00015239,7.8092e+06,1,0.306,50,0.05,0.306
0.70544,-5.9753e-22,0.00015291,7.8092e+06,1,0.307,50,0.05,0.307
0.70496,-6.7218e-22,0.00015342,7.8092e+06,1,0.308,50,0.05,0.308
0.70448,-7.4683e-22,0.00015394,7.8092e+06,1,0.309,50,0.05,0.309
0.704,-8.2148e-22,0.00015445,7.8092e+06,1,0.31,50,0.05,0.31
0.70353,-8.9613e-22,0.00015497,7.8092e+06,1,0.311,50,0.05,0.311
0.70305,-9.7078e-22,0.00015549,7.8092e+06,1,0.312,50,0.05,0.312
0.70254,-9.4592e-22,0.00015601,7.8092e+06,1,0.313,50,0.05,0.313
0.70203,-9.2105e-22,0.00015652,7.8092e+06,1,0.314,50,0.05,0.314
